Country,Area,Location
USA,Florida,New Smyrna Beach
USA,California,"Samoa Beach, Humboldt County"
USA,Hawaii,"Nimitz State Beach, Oahu"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,Crescent Beach St. Johns County
USA,Texas,"Grass Island, Aransas County"
USA,North Carolina,"Buxton Beach, Dare County"
USA,North Carolina,Holden Beach. Brunswick County
USA,North Carolina,"Kure Beach, New Hanover County"
USA,North Carolina,"Wrightsville Beach, New Hanover County"
USA,Puerto Rico, Vieques
USA,South Carolina,"Myrtle Beach, Horry County"
USA,North Carolina,Beaufort Inlet
USA,New Jersey,"Egg Harbor, Atlantic County"
USA,North Carolina,"Ocracoke Island, Hyde County"
USA,Texas,"South Padre Island, Cameron County"
USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County"
USA,Texas,"Mustang Island, Nueces County"
USA,North Carolina,"North Topsail Beach, Onslow County"
USA,California,"San Onofre State Beach, San Diego County"
USA,Florida,"Perdido Key, Escambia County"
USA,Florida,"Off Jupiter Inlet, Palm Beach County"
USA,California,"La Jolla, San Diego County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Texas,"Follett's Island, Brazoria County"
USA,Hawaii,"Lyman Beach, Kailua-Kona"
USA,Hawaii,"Lyman Beach, Kailua-Kona"
USA,Florida,"Ponte Vedra Beach, St Johns County"
USA,Florida,"Ormond Beach, Volusia County"
USA,Florida,Miami
USA,Florida,"Riviera Beach, Palm Beach County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Texas,Matagorda Beach
USA,Hawaii," Kahului, Maui"
USA,Hawaii,"Tavares Bay, Maui"
USA,Palmyra Atoll,
USA,Oregon,Florence
USA,Maine,"Burnt Cove near Eastport, Washington County"
USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County"
USA,Oregon,Winchester Bay
USA,Virginia,Sandridge Beach
USA,Florida,"St. Augustine, St. John's County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,Crescent Beach St. Johns County
USA,California,"Pigeon Point, San Mateo County"
USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County"
USA,Florida,"Bethune Beach, Volusia County"
USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County"
USA,Florida,"Micklers Landing, St. Johns County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,Florida,"Jacksonville Beach, Duval County"
USA,South Carolina,Myrtle Beach
USA,North Carolina,"Wrightsville Beach, New Hanover County"
USA,Florida,New Smyrna Beach
USA,Texas,Galveston
USA,Florida,"Lauderdale-by-the-Sea, Broward County"
USA,New York,Off Long Island
USA,California,"Pismo Beach, San Luis  Obispo County"
USA,California,"Dog Patch, San Onofre"
USA,Texas,"Eight Mile Beach, Galveston"
USA,South Carolina,Fripp Island
USA,North Carolina,"Topsail Island, Pender County"
USA,Florida,Jacksonville
USA,Florida,"Ponte Vedra Beach, St Johns County"
USA,Florida,Off Tarpon Springs
USA,Florida,New Smyrna Beach
USA,Florida,Hanalei Bay
USA,Hawaii,"Hanalei Bay, Kauai"
USA,Florida,Riviera Beach
USA,Florida,"Stuart, Martin County"
USA,Florida,Elliot Key
USA,New Jersey,"Adventure Aquarium, Camden"
USA,California,"Huntington Beach, Orange County"
USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County"
USA,California,"Loch Lomond, Marin County"
USA,Florida,"Jupiter, Palm Beach County"
USA,Florida,"Jupiter, Palm Beach County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Davenport, Santa Cruz County"
USA,California,"San Onofre, San Diego County "
USA,Hawaii,"Kalama Park, Maui"
USA,California,"San Onofre State Beach, San Diego County"
USA,Florida,"Key Colony Beach, Monroe County"
USA,North Carolina,"Corolla, Currituck County"
USA,California,"Huntington Beach, Orange County"
USA,California,"Terramar Beach, Carlsbad, San Diego County"
USA,Florida,"Ponce, Volusia County"
USA,Hawaii,Kawa'a 
USA,Louisiana,"Curlew Island, Breton Sound"
USA,Texas,South Padre Island
USA,North Carolina,Holden Beach. Brunswick County
USA,Florida,"Intracoastal Waterway,      St. Petersburg"
USA,California,"San Onofre, San Diego County "
USA,Florida,"Daytona Beach, Volusia County"
USA,Florida,"Biscayne National Park, Miami"
USA,California,"Shell Beach, San Luis Obispo County"
USA,Florida,"Melbourne Beach, Brevard County"
USA,Florida,"Clearwater Beach, Pinellas County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"St. Augustine, St. John's County"
USA,California,"San Onofre State Beach, San Diego County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Carlin Park, Jupiter Inlet"
USA,Florida,"Walton Rocks, St Lucie County"
USA,Hawaii,Kona
USA,California,San Diego County
USA,Florida,"Sanibel Island, Lee County"
USA,Florida,"Ponce Inlet, Volusia County"
USA,Hawaii,Alenuihaha Channel
USA,Puerto Rico,Quebradillas
USA,California,"Dillon Beach, Marin County"
USA,Florida,"Santa Rosa Beach, Walton County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,Bethune Beach
USA,Florida,"Ormond-by-the-Sea, Volusia County"
USA,Hawaii,"Ka'a'awa, Oahu"
USA,California,"Surf Beach, Lompoc, Santa Barbara County"
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,Hutchinson Island
USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i "
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,North Carolina,"Surf City, Topsail Island, Pender County"
USA,Florida,"Sanibel Island, Lee County"
USA,South Carolina,"North Myrtle Beach, Horry County"
USA,US Virgin Islands,Buck Island
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Ala Moana Beach Park, Oah'u"
USA,Hawaii,"Honokowai, Maui"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Hawaii,"Lahilahi Point, Oahu"
USA,North Carolina,"Surf City, Topsail Island, Pender County"
USA,North Carolina,"Topsail Island, Pender County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,North Carolina,"Carolina Beach, New Hanover County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,North Carolina,"Emerald Isle, Carteret County"
USA,South Carolina,"Litchfield Beach, Georgetown County"
USA,Hawaii,"Kamilo Point, Hawai'i"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,South Carolina,"Isle of Palms, Charleston County"
USA,California,"West Cove, Catalina Island"
USA,Florida,"Fernandina Beach, Nassau County"
USA,Florida,"Cocoa Beach, Brevard  County"
USA,South Carolina,Cherry Grove
USA,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,California,"Solana Beach, San Diego County"
USA,Florida,"New Smyrna Beach, Volusia County"
USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County"
USA,Florida,"Palm Beach Shores, Palm Beach County"
USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County"
USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County"
USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County"
